,price,crime_rate,resid_area,air_qual,room_num,age,teachers,poor_prop,n_hos_beds,n_hot_rooms,rainfall,avg_dist,airport_YES,waterbody_Lake,waterbody_Lake and River,waterbody_River
0,24.0,0.006300112548479956,32.31,0.5379999999999999,6.575,65.2,24.7,4.98,5.48,11.192,23,4.0875,1,0,0,1
1,21.6,0.02694373544754613,37.07,0.469,6.421,78.9,22.2,9.14,7.332000000000001,12.1728,42,4.9675,0,1,0,0
2,34.7,0.02692426693786002,37.07,0.469,7.185,61.1,22.2,4.03,7.394,46.19856,38,4.9675,0,0,0,0
3,33.4,0.0318571299356596,32.18,0.45799999999999996,6.997999999999999,45.8,21.3,2.94,9.267999999999999,11.2672,45,6.065,1,1,0,0
4,36.2,0.06677040363385242,32.18,0.45799999999999996,7.147,54.2,21.3,5.33,8.824,11.2896,55,6.0625,0,1,0,0
5,28.7,0.02941316056834955,32.18,0.45799999999999996,6.43,58.7,21.3,5.21,7.1739999999999995,14.2296,53,6.0600000000000005,1,0,0,0
6,22.9,0.08460765703482562,37.87,0.524,6.0120000000000005,66.6,24.8,12.43,6.957999999999999,12.1832,41,5.56,1,0,0,1
7,22.1,0.1350115466558769,37.87,0.524,6.172000000000001,96.1,24.8,19.15,5.8420000000000005,12.1768,56,5.95,0,1,0,0
8,16.5,0.19164462825480608,37.87,0.524,5.631,100.0,24.8,29.93,5.93,12.132,55,6.0825,1,0,0,0
9,18.9,0.15703793625945522,37.87,0.524,6.004,85.9,24.8,17.1,9.478,14.1512,45,6.59,1,0,0,1
10,15.0,0.20285104404642815,37.87,0.524,6.377000000000001,94.3,24.8,20.45,6.0,11.12,29,6.3475,0,1,0,0
11,18.9,0.11106720150765234,37.87,0.524,6.0089999999999995,82.9,24.8,13.27,9.277999999999999,13.1512,23,6.2250000000000005,0,0,1,0
12,21.7,0.0896395868849593,37.87,0.524,5.888999999999999,39.0,24.8,15.71,5.534,10.1736,57,5.452499999999999,1,0,1,0
13,20.4,0.4884327647141028,38.14,0.5379999999999999,5.949,61.8,19.0,8.26,5.9079999999999995,14.1632,39,4.7075,1,0,0,0
14,18.2,0.49345156510828403,38.14,0.5379999999999999,6.096,84.5,19.0,10.26,6.9639999999999995,13.1456,49,4.465,0,0,0,0
15,19.9,0.4869775044907407,38.14,0.5379999999999999,5.834,56.5,19.0,8.47,8.498,14.1592,28,4.4975,1,0,0,1
16,23.1,0.7197550310814291,38.14,0.5379999999999999,5.935,29.3,19.0,6.58,5.462000000000001,10.1848,46,4.5,0,0,0,0
17,17.5,0.5789701354975461,38.14,0.5379999999999999,5.99,81.7,19.0,14.67,5.45,11.14,56,4.26,0,1,0,0
18,20.2,0.5892910882451726,38.14,0.5379999999999999,5.456,36.6,19.0,11.69,8.504,12.1616,41,3.795,1,0,1,0
19,18.2,0.5456907110920701,38.14,0.5379999999999999,5.727,69.5,19.0,11.28,8.564,12.1456,27,3.8,0,0,1,0
20,13.6,0.8117254554853012,38.14,0.5379999999999999,5.57,98.1,19.0,21.02,8.272,15.1088,44,3.7975,1,0,1,0
21,19.6,0.6162877342628865,38.14,0.5379999999999999,5.965,89.2,19.0,13.83,9.192,14.1568,23,4.0125,1,0,0,0
22,15.2,0.8031085958282844,38.14,0.5379999999999999,6.142,91.7,19.0,18.72,5.803999999999999,14.1216,48,3.9799999999999995,1,0,0,1
23,14.5,0.6873453826321089,38.14,0.5379999999999999,5.813,100.0,19.0,19.88,7.49,13.116,29,4.095000000000001,1,1,0,0
